symptom_text,condition,first_aid
"My father has chest pain and sweating heavily",heart_attack,"Call emergency services immediately. Keep the person calm and seated. Give aspirin if not allergic. Begin CPR if unconscious."
"Feeling tightness in chest with nausea",heart_attack,"Call emergency services. Keep calm and seated. Give aspirin if not allergic. Begin CPR if unconscious."
"Severe chest pain and shortness of breath",heart_attack,"Call emergency services immediately. Keep the person calm and seated. Give aspirin if not allergic. Begin CPR if unconscious."
"Heart palpitations and dizziness",heart_attack,"Call emergency services. Keep the person calm and seated. Give aspirin if not allergic. Begin CPR if unconscious."
"Sudden severe chest pain",heart_attack,"Call emergency services immediately. Keep calm. Begin CPR if unconscious."
"Someone is not breathing",not_breathing,"Call emergency services immediately. Start CPR until help arrives."
"Person collapsed and not breathing",not_breathing,"Check airway and breathing. Start CPR. Call emergency services."
"Drowning victim",not_breathing,"Call emergency services. Start CPR if not breathing. Keep airway clear."
"Child choking on food",choking_child,"Give 5 back blows and 5 abdominal thrusts. If the child becomes unconscious, start CPR and call emergency services."
"Child choking on candy",choking_child,"Give back blows and abdominal thrusts. Start CPR if unresponsive. Call emergency services."
"Adult choking on food",choking_adult,"Perform Heimlich maneuver. If unconscious, start CPR and call emergency services."
"Choking and turning blue",choking_child,"Give 5 back blows and 5 abdominal thrusts. Start CPR if unresponsive."
"Adult choking on small object",choking_adult,"Perform Heimlich maneuver. If unresponsive, start CPR. Call emergency services."
"Burn from hot water",burn,"Cool under running water for 20 minutes. Cover with sterile dressing. Do not apply butter or ice."
"Burn from fire",burn,"Cool with running water for 20 minutes. Cover with sterile dressing. Seek medical help."
"Severe burn with blistering",burn,"Cool with running water. Cover with sterile dressing. Do not burst blisters."
"Minor cut on finger",minor_cut,"Wash the cut with clean water. Apply antiseptic and bandage."
"Small cut on hand",minor_cut,"Clean with water. Apply antiseptic and bandage."
"Child with minor cut on arm",minor_cut,"Wash with clean water. Apply antiseptic. Cover with bandage."
"Person fainted after heat exposure",unconscious,"Check airway, breathing, and pulse. Place in recovery position. Call emergency services."
"Adult fainted suddenly",unconscious,"Lay flat. Raise legs. Check breathing. Call emergency services."
"Person unconscious after head injury",unconscious,"Check airway, breathing, pulse. Keep person lying down. Call emergency services."
"Snake bite on leg",snake_bite,"Keep calm and still. Do not suck the venom. Get medical help immediately."
"Snake bite with swelling",snake_bite,"Keep the person calm. Immobilize affected limb. Seek medical help immediately."
"Severe allergic reaction with swelling",allergic_reaction,"Give antihistamines if available. Administer epinephrine if severe. Call emergency services."
"Bee sting with swelling",allergic_reaction,"Give antihistamines if available. Use epinephrine if severe. Call emergency services."
"Heatstroke with dizziness",heatstroke,"Move to a cool place. Give cool water. Apply wet cloths to lower body temperature."
"Heat exhaustion with headache and dizziness",heatstroke,"Move to shade. Give water. Rest. Seek medical help if condition worsens."
"Fractured arm after fall",fracture,"Immobilize the area. Apply ice packs around injury. Seek medical help immediately."
"Fractured wrist after fall",fracture,"Immobilize wrist. Apply ice packs. Seek medical help."
"Severe bleeding from cut",severe_bleeding,"Apply direct pressure with a clean cloth. Keep the area elevated. Call emergency services."
"Severe nosebleed",severe_bleeding,"Sit the person upright. Pinch nose. Lean forward. Call emergency services if bleeding continues."
"Child ingested poison",unknown,"Call Poison Control immediately. Do not induce vomiting unless instructed. Keep the person calm."
"Adult ingested cleaning liquid",unknown,"Call Poison Control. Do not induce vomiting. Keep calm. Seek medical help."
"Person with electric shock",not_breathing,"Ensure power source is off. Check breathing. Start CPR if needed. Call emergency services."
"Person with fainting spell",unconscious,"Lay the person flat, raise legs if possible. Check airway and breathing. Call emergency services."
"Minor burn from stove",burn,"Cool under running water. Apply sterile dressing. Do not put butter or ice."
"Person with heart palpitations and nausea",heart_attack,"Call emergency services. Keep calm and seated. Begin CPR if unconscious."
"Adult choking on candy",choking_adult,"Perform Heimlich maneuver. If unconscious, start CPR. Call emergency services."
"Child choking on toy",choking_child,"Give 5 back blows and 5 abdominal thrusts. Start CPR if unresponsive. Call emergency services."
"Heatstroke with confusion",heatstroke,"Move to cool place. Give fluids. Apply wet cloths. Seek medical help."
"Fainting after standing too long",unconscious,"Lay flat. Raise legs. Check breathing. Call emergency services."
"Fractured leg after accident",fracture,"Immobilize the area. Keep still. Apply ice packs. Seek medical help."
"Severe bleeding from leg",severe_bleeding,"Apply direct pressure. Keep elevated. Call emergency services."
"Person stung by wasp with swelling",allergic_reaction,"Give antihistamines if available. Use epinephrine if severe. Call emergency services."
"Child with minor burn",burn,"Cool with running water. Cover with sterile dressing. Seek medical help."
"Person with minor cut on leg",minor_cut,"Wash with clean water. Apply antiseptic and bandage."
"Person unconscious after accident",unconscious,"Check airway, breathing, pulse. Keep lying down. Call emergency services."
"Snake bite with pain and swelling",snake_bite,"Keep calm. Immobilize affected limb. Seek medical help immediately."
"Child with heat exhaustion",heatstroke,"Move to cool place. Give water. Apply wet cloths. Seek medical help if needed."
...

